act_symbol,date,timing,fiscal_year,fiscal_q,eps_actual,eps_estimate,revenue_actual,revenue_estimate,source
ABT,2020-01-22,bmo,2020,Q1,,,,,dolthub
ALLY,2020-01-22,bmo,2020,Q1,,,,,dolthub
APH,2020-01-22,bmo,2020,Q1,,,,,dolthub
ASML,2020-01-22,bmo,2020,Q1,,,,,dolthub
BKR,2020-01-22,bmo,2020,Q1,,,,,dolthub
BOKF,2020-01-22,bmo,2020,Q1,,,,,dolthub
BPFH,2020-01-22,amc,2020,Q1,,,,,dolthub
BXS,2020-01-22,amc,2020,Q1,,,,,dolthub
CATY,2020-01-22,amc,2020,Q1,,,,,dolthub
CBSH,2020-01-22,bmo,2020,Q1,,,,,dolthub
CBU,2020-01-22,bmo,2020,Q1,,,,,dolthub
CHMG,2020-01-22,unknown,2020,Q1,,,,,dolthub
CNS,2020-01-22,amc,2020,Q1,,,,,dolthub
CTBI,2020-01-22,unknown,2020,Q1,,,,,dolthub
CTXS,2020-01-22,amc,2020,Q1,,,,,dolthub
CUBI,2020-01-22,amc,2020,Q1,,,,,dolthub
CVBF,2020-01-22,amc,2020,Q1,,,,,dolthub
CVCY,2020-01-22,unknown,2020,Q1,,,,,dolthub
FBNC,2020-01-22,unknown,2020,Q1,,,,,dolthub
FCCO,2020-01-22,unknown,2020,Q1,,,,,dolthub
FCEL,2020-01-22,bmo,2020,Q1,,,,,dolthub
FITB,2020-01-22,bmo,2020,Q1,,,,,dolthub
FUL,2020-01-22,amc,2020,Q1,,,,,dolthub
FVCB,2020-01-22,unknown,2020,Q1,,,,,dolthub
GFED,2020-01-22,unknown,2020,Q1,,,,,dolthub
HOPE,2020-01-22,amc,2020,Q1,,,,,dolthub
INBK,2020-01-22,amc,2020,Q1,,,,,dolthub
JNJ,2020-01-22,bmo,2020,Q1,,,,,dolthub
KMI,2020-01-22,amc,2020,Q1,,,,,dolthub
LMST,2020-01-22,unknown,2020,Q1,,,,,dolthub
LOB,2020-01-22,amc,2020,Q1,,,,,dolthub
NG,2020-01-22,amc,2020,Q1,,,,,dolthub
NTRS,2020-01-22,bmo,2020,Q1,,,,,dolthub
OBNK,2020-01-22,amc,2020,Q1,,,,,dolthub
OSBC,2020-01-22,amc,2020,Q1,,,,,dolthub
PFBC,2020-01-22,amc,2020,Q1,,,,,dolthub
PLD,2020-01-22,bmo,2020,Q1,,,,,dolthub
PLXS,2020-01-22,amc,2020,Q1,,,,,dolthub
PTC,2020-01-22,amc,2020,Q1,,,,,dolthub
QCRH,2020-01-22,amc,2020,Q1,,,,,dolthub
RCI,2020-01-22,bmo,2020,Q1,,,,,dolthub
RJF,2020-01-22,amc,2020,Q1,,,,,dolthub
RLI,2020-01-22,amc,2020,Q1,,,,,dolthub
SLG,2020-01-22,amc,2020,Q1,,,,,dolthub
SLM,2020-01-22,amc,2020,Q1,,,,,dolthub
STL,2020-01-22,amc,2020,Q1,,,,,dolthub
STLD,2020-01-22,amc,2020,Q1,,,,,dolthub
TCBI,2020-01-22,amc,2020,Q1,,,,,dolthub
TDY,2020-01-22,bmo,2020,Q1,,,,,dolthub
TER,2020-01-22,amc,2020,Q1,,,,,dolthub
TXN,2020-01-22,amc,2020,Q1,,,,,dolthub
UMPQ,2020-01-22,amc,2020,Q1,,,,,dolthub
USAP,2020-01-22,bmo,2020,Q1,,,,,dolthub
UVSP,2020-01-22,amc,2020,Q1,,,,,dolthub
AAL,2020-01-23,bmo,2020,Q1,,,,,dolthub
ABCB,2020-01-23,amc,2020,Q1,,,,,dolthub
AIT,2020-01-23,bmo,2020,Q1,,,,,dolthub
AMNB,2020-01-23,unknown,2020,Q1,,,,,dolthub
AMRB,2020-01-23,bmo,2020,Q1,,,,,dolthub
ASB,2020-01-23,amc,2020,Q1,,,,,dolthub
AVT,2020-01-23,amc,2020,Q1,,,,,dolthub
AVX,2020-01-23,bmo,2020,Q1,,,,,dolthub
BANC,2020-01-23,bmo,2020,Q1,,,,,dolthub
BANR,2020-01-23,amc,2020,Q1,,,,,dolthub
BKU,2020-01-23,bmo,2020,Q1,,,,,dolthub
BSET,2020-01-23,unknown,2020,Q1,,,,,dolthub
BWB,2020-01-23,unknown,2020,Q1,,,,,dolthub
BY,2020-01-23,amc,2020,Q1,,,,,dolthub
CADE,2020-01-23,bmo,2020,Q1,,,,,dolthub
CFB,2020-01-23,amc,2020,Q1,,,,,dolthub
CHCO,2020-01-23,unknown,2020,Q1,,,,,dolthub
CLFD,2020-01-23,amc,2020,Q1,,,,,dolthub
CMCSA,2020-01-23,bmo,2020,Q1,,,,,dolthub
CNOB,2020-01-23,bmo,2020,Q1,,,,,dolthub
COLB,2020-01-23,bmo,2020,Q1,,,,,dolthub
CSTR,2020-01-23,amc,2020,Q1,,,,,dolthub
CVTI,2020-01-23,amc,2020,Q1,,,,,dolthub
